,Beta,Gamma,t,min(S),max(I)
306,0.7,0.6,14.572055812607427,0,10689
307,0.7,0.65,18.374677579901572,0,12017
308,0.7,0.7,14.427237376498535,0,11547
309,0.7,0.75,12.873043641536935,0,11216
310,0.7,0.8,15.369339953471991,0,11413
311,0.7,0.85,11.488505025515414,0,11773
312,0.7,0.9,13.903779744701323,0,11668
313,0.7,0.95,11.400020308281693,0,11473
314,0.7,1.0,0.13817222442666624,12904,1
315,0.75,0.01,849.3720320817295,0,12797
316,0.75,0.05,191.67040404314116,0,12766
317,0.75,0.1,99.83883447867615,0,12576
318,0.75,0.15,62.09033878759853,0,12638
319,0.75,0.2,47.70591766781916,0,12603
320,0.75,0.25,35.61512627274856,0,12330
321,0.75,0.3,39.18329999118969,0,12388
322,0.75,0.35,25.026105700618164,0,12521
323,0.75,0.4,26.50000391820135,0,12284
324,0.75,0.45,23.951210082794205,0,12309
325,0.75,0.5,18.002566280784084,0,12206
326,0.75,0.55,20.13559604605416,0,12160
327,0.75,0.6,14.796610513130927,0,12007
328,0.75,0.65,17.339908604322694,0,11899
329,0.75,0.7,13.400703289997773,0,11447
330,0.75,0.75,13.021446630704927,0,11790
331,0.75,0.8,11.730855055406845,0,11990
332,0.75,0.85,11.684020112078494,0,11761
333,0.75,0.9,12.276613177608445,0,11726
334,0.75,0.95,10.927006598871184,0,11802
335,0.75,1.0,9.75911320832735,0,11499
336,0.8,0.01,872.9528923487552,0,12883
337,0.8,0.05,195.43332749545857,0,12736
338,0.8,0.1,112.43064706944566,0,12719
339,0.8,0.15,77.16006246652437,0,12477
340,0.8,0.2,46.278305244324706,0,12590
341,0.8,0.25,49.49891677708993,0,12658
342,0.8,0.3,34.55838752360601,0,12344
343,0.8,0.35,26.201118559484282,0,12354
344,0.8,0.4,23.489580856606256,0,12189
345,0.8,0.45,19.281595587947997,0,12308
346,0.8,0.5,16.63985544441348,0,12312
347,0.8,0.55,17.00133279957993,0,11159
348,0.8,0.6,20.125851874512374,0,11427
349,0.8,0.65,13.829402973269582,0,12040
350,0.8,0.7,14.624937341006133,0,12013
351,0.8,0.75,17.165205841771176,0,11179
352,0.8,0.8,11.393443283470953,0,11982
353,0.8,0.85,10.386342509160365,0,10539
354,0.8,0.9,10.191544955576461,0,11369
355,0.8,0.95,11.894440228456974,0,11894
356,0.8,1.0,8.039268255086464,0,11695
357,0.85,0.01,858.9354286423047,0,12823
358,0.85,0.05,215.86951282381816,0,12713
359,0.85,0.1,104.45019585675034,0,12690
360,0.85,0.15,51.62809964667522,0,12581
361,0.85,0.2,52.772150191932155,0,12601
362,0.85,0.25,41.66504168324396,0,12521
363,0.85,0.3,30.073351711523394,0,12519
364,0.85,0.35,28.15376295965424,0,11848
365,0.85,0.4,22.460525412666424,0,12355
366,0.85,0.45,23.70631460618948,0,12194
367,0.85,0.5,18.35369040991569,0,12259
